timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553625267374,1601,HTTP Request Scenario 3,200,OK,Thread Group 1-1,text,true,,313,3658474,4,4,http://localhost:8081/algorithm/NaiveBayes,1600,0,2
1553625267854,1671,HTTP Request Scenario 3,200,OK,Thread Group 1-2,text,true,,313,3658506,5,5,http://localhost:8081/algorithm/NaiveBayes,1671,0,6
1553625268342,1411,HTTP Request Scenario 3,200,OK,Thread Group 1-3,text,true,,313,3658482,5,5,http://localhost:8081/algorithm/NaiveBayes,1411,0,4
1553625269754,1910,HTTP Request Scenario 3,200,OK,Thread Group 1-3,text,true,,313,3658506,9,9,http://localhost:8081/algorithm/NaiveBayes,1910,0,0
1553625268840,3070,HTTP Request Scenario 3,200,OK,Thread Group 1-4,text,true,,313,3658538,10,10,http://localhost:8081/algorithm/NaiveBayes,3070,0,3
1553625270342,2106,HTTP Request Scenario 3,200,OK,Thread Group 1-7,text,true,,313,3658514,10,10,http://localhost:8081/algorithm/NaiveBayes,2106,0,1
1553625269526,3166,HTTP Request Scenario 3,200,OK,Thread Group 1-2,text,true,,313,3658530,10,10,http://localhost:8081/algorithm/NaiveBayes,3166,0,1
1553625269352,3345,HTTP Request Scenario 3,200,OK,Thread Group 1-5,text,true,,313,3658538,10,10,http://localhost:8081/algorithm/NaiveBayes,3345,0,0
1553625268975,4240,HTTP Request Scenario 3,200,OK,Thread Group 1-1,text,true,,313,3658498,10,10,http://localhost:8081/algorithm/NaiveBayes,4240,0,1
1553625269845,3881,HTTP Request Scenario 3,200,OK,Thread Group 1-6,text,true,,313,3658466,10,10,http://localhost:8081/algorithm/NaiveBayes,3881,0,0
1553625271664,4361,HTTP Request Scenario 3,200,OK,Thread Group 1-3,text,true,,313,3658514,10,10,http://localhost:8081/algorithm/NaiveBayes,4361,0,2
1553625270843,5465,HTTP Request Scenario 3,200,OK,Thread Group 1-8,text,true,,313,3658466,10,10,http://localhost:8081/algorithm/NaiveBayes,5465,0,1
1553625271358,5195,HTTP Request Scenario 3,200,OK,Thread Group 1-9,text,true,,313,3658522,10,10,http://localhost:8081/algorithm/NaiveBayes,5195,0,2
1553625271911,4735,HTTP Request Scenario 3,200,OK,Thread Group 1-4,text,true,,313,3658506,10,10,http://localhost:8081/algorithm/NaiveBayes,4734,0,1
1553625271848,4839,HTTP Request Scenario 3,200,OK,Thread Group 1-10,text,true,,313,3658530,10,10,http://localhost:8081/algorithm/NaiveBayes,4839,0,1
1553625272449,5961,HTTP Request Scenario 3,200,OK,Thread Group 1-7,text,true,,313,3658474,10,10,http://localhost:8081/algorithm/NaiveBayes,5961,0,1
